CommonName,Count,First_Genus_SpeciesIRMA
Red-Eyed Vireo,"2,620",Vireo olivaceus 
Red-Headed Woodpecker,10,Melanerpes erythrocephalus 
Red-Lipped Green Lacewing,12,Chrysoperla rufilabris 
Red-Ring Milkweed,10,Asclepias variegata 
Red-Shouldered Hawk,11,Buteo lineatus 
Red-Tailed Hawk,11,Buteo jamaicensis 
Red-Twig Doghobble,45,Leucothoe recurva 
Red-Winged Blackbird,35,Agelaius phoeniceus 
Red Admiral,41,Vanessa atalanta 
Red Burrowing Crayfish,19,Cambarus Jugicambarus carolinus 
Red Clover,16,Trifolium pratense 
Red Crossbill,39,Loxia curvirostra 
Red Elder,17,Sambucus racemosa v. pubens
Red Elderberry,50,Sambucus racemosa v. racemosa
Red Hickory,24,Carya ovalis 
Red Maple,"4,824",Acer rubrum v. rubrum
Red Mulberry,97,Morus rubra 
Red Spruce,981,Picea rubens 
Red Squirrel,10,Tamiasciurus hudsonicus 
Redbanded Leafroller,29,Argyrotaenia velutinana 
Redbreast Sunfish,13,Lepomis auritus 
Redbud,130,Cercis canadensis v. canadensis
Reddish Speckled Dart,18,Cerastis tenebrifera 
Redline Darter,53,Etheostoma rufilineatum 
Redspotted Purple,10,Limenitis arthemis astyanax
Regal Moth2,12,Citheronia regalis 
Resurrection Fern,20,Pleopeltis polypodioides michauxiana
Retarded Dagger Moth,31,Acronicta retardata 
Retreat-Maker,24,Cheumatopsyche harwoodi 
Retreat-Making Caddisfly,25,Cheumatopsyche analis 
Rhomboid Eunotia Diatom,107,Eunotia rhomboidea 
Ribbed Sedge,24,Carex virescens 
Rice Cut Grass,23,Leersia oryzoides 
Richweed  ,31,Pilea pumila 
Riffle Beetle,58,Macronychus glabratus 
Rigid White-Top American-Aster,21,Symphyotrichum retroflexum 
River Birch,51,Betula nigra 
River Chub,120,Nocomis micropogon 
River Fly,73,Atherix lantha 
Roan Mountain Goldenrod,21,Solidago roanensis 
Roan Rattlesnakeroot,25,Prenanthes roanensis 
Robin'S Plantain,27,Erigeron pulchellus v. pulchellus
Rock Bass,54,Ambloplites rupestris 
Rock Polypody,21,Polypodium virginianum 
Rohwer`S Sweat Bee,13,Lasioglossum Dialictus rohweri 
Rooted Agaric,13,Xerula furfuracea 
Rose-Breasted Grosbeak,282,Pheucticus ludovicianus 
Rose Hooktip,15,Oreta rosea 
Rosebay Rhododendron ,922,Rhododendron maximum 
Rosy-Gill Fairy Helmet Fungus,10,Mycena galericulata 
Rosy Maple Moth ,87,Dryocampa rubicunda 
Rosy Sedge,27,Carex rosea 
Rosyside Dace,36,Clinostomus funduloides 
Rough-Stemmed Goldenrod,16,Solidago rugosa v. aspera
Rough Hawkweed,10,Hieracium scabrum 
Round-Leaf Groundsel,15,Packera obovata 
Round-Leaf Violet,145,Viola rotundifolia 
Round-Necked Longhorn,15,Cephaloon lepturides 
Round-Necked Longhorn 02,14,Clytus ruricola 
Round-Necked Longhorn 09,15,Metacmaeops vittata 
Round-Necked Longhorn 10,14,Microgoes oculatus 
Round-Necked Longhorn 11,12,Pidonia aurata 
Round-Necked Longhorn 13,27,Pidonia ruficollis 
Round-Necked Longhorn 16,20,Strangalepta abbreviata 
Roundleaf Goldenrod,17,Solidago patula v. patula
Roundneck Sexton Beetle,33,Nicrophorus orbicollis 
Rove Beetle,78,Achenomorphus corticinus 
Rove Beetle 03,14,Dasycerus carolinensis 
Rove Beetle 04,15,Euboarhexius perscitus 
Rove Beetle 05,12,Gabrius fallaciosus 
Rove Beetle 07,19,Ontholestes cingulatus 
Rove Beetle 09,29,Prespelea quirsfeldi 
Rove Beetle 10,21,Sepedophilus brachypterus 
Rove Beetle 11,15,Tachinus fimbriatus 
Rove Beetle 12,28,Tachinus luridus 
Rove Beetle 13,19,Trimiomelba dubia 
Ruby-Crowned Kinglet,10,Regulus calendula 
Ruby-Throated Hummingbird,113,Archilochus colubris 
Ruby Meadowhawk,14,Sympetrum rubicundulum 
Rue-Anemone,120,Thalictrum thalictroides 
Ruffed Grouse,67,Bonasa umbellus 
Running Strawberry-Bush,49,Euonymus obovatus 
Rusty Leaf Beetle,12,Syneta ferruginea 
Sable Clubtail,25,Gomphus Gomphurus rogersi 
Sac Fungi,75,Acanthostigma filiforme 
Saddle-Backed False Morel,11,Helvella crispa 
Saddleback Caterpillar,11,Acharia stimulea 
Saddleback Looper,59,Ectropis crepuscularia 
Saffron Shiner,47,Notropis rubricroceus 
Sallow Sedge,24,Carex lurida 
Salmonfly,20,Pteronarcys proteus group 
Sand-Myrtle,19,Leiophyllum buxifolium 
Sand Hickory,23,Carya pallida 
Sanderson Bumble Bee,21,Bombus Pyrobombus sandersoni 
Sanicle  ,25,Sanicula odorata 
Sap-Feeding Beetle 03,16,Pallodes pallidus 
Sap-Feeding Beetle 04,32,Stelidota octomaculata 
Sassafras,750,Sassafras albidum 
Satchem,41,Atalopedes campestris 
Saw-Tooth Blackberry,14,Rubus argutus 
Sawbrier,377,Smilax glauca 
Sawfly,10,Monophadnoides pauper 
Scale-Mouthed Caddisfly,35,Lepidostoma griseum 
Scallop Moth,32,Cepphis armataria 
Scarab Beetle,67,Serica atracapilla 
Scarlet-Winged Lichen Moth ,71,Hypoprepia miniata 
Scarlet Beebalm,75,Monarda didyma 
Scarlet Oak,913,Quercus coccinea 
Scarlet Tanager,"1,749",Piranga olivacea 
Scorpionfly,10,Panorpa flexa 
Scribbler Moth,32,Cladara atroliturata 
Seal Salamander,133,Desmognathus monticola 
Seed Bug,20,Kleidocerys  resedae 
Seedbox,15,Ludwigia alternifolia 
Seedcorn Beetle,19,Stenolophus Agonoderus lecontei 
Sensitive-Pea,18,Chamaecrista nictitans nictitans
Sensitive Fern,11,Onoclea sensibilis 
Serrate Fishfly,74,Nigronia serricornis 
Sessile-Leaf Bellwort,75,Uvularia sessilifolia 
Sexton Beetle,12,Nicrophorus defodiens 
Shag-Bark Hickory,40,Carya ovata 
Shingle Oak,92,Quercus imbricaria 
Shiny Cinnamon Polypore,14,Coltricia cinnamomea 
Short-Horned Caddisfly,33,Micrasema charonis 
Short-Leaf Pine,200,Pinus echinata 
Short-Tailed Shrew,32,Blarina brevicauda 
Shovel-Nosed Salamander,38,Desmognathus marmoratus 
Showy Gentian,50,Gentiana decora 
Showy Goldenrod,39,Solidago speciosa v. rigidiuscula
Shrub Yellowroot,28,Xanthorhiza simplicissima 
Silky Dogwood,45,Cornus amomum 
Silky Wild Oat,12,Danthonia sericea 
Silky Willow,35,Salix sericea 
Silly Stickbait Caddis,41,Pycnopsyche sonso 
Silver-Leaf Hydrangea,53,Hydrangea radiata 
Silver-Spotted Skipper,72,Epargyreus clarus 
Silverbell,41,Halesia carolina variety
Silvery-Spleenwort F ,226,Deparia acrostichoides 
Similar Antloving Rove Beetle,51,Eutyphlus similis 
Single-Head Pussytoes,11,Antennaria solitaria 
Skunk Goldenrod ,44,Solidago glomerata 
Sleepy Orange,15,Abaeis nicippe 
Slender Springtail C,12,Entomobrya ligata 
Slender Springtail J,11,Orchesella celsa 
Slender Springtail M,13,Pseudosinella collina 
Slender Wood-Reed,35,Cinna latifolia 
Slender Woodland Sedge,42,Carex digitalis v. digitalis
Slender Yellow Wood-Sorrel,14,Oxalis dillenii 
Slippery Elm,94,Ulmus rubra 
Slippery Jack,12,Suillus americanus 
Slipperycap Mushroom,10,Suillus granulatus 
Slosson`S Retreat-Maker,61,Hydropsyche slossonae 
Small-Eyed Sphinx ,54,Paonias myops 
Small Baileya Moth,30,Baileya australis 
Small Brook Flat-Headed Mayfly,38,Maccaffertium meririvulanum 
Small Chanterelle Mushroom,18,Cantharellus minor forma
Small Enchanter’S-Nightshade,42,Circaea alpina alpina
Small Green Ground Beetle,15,Lebia Lebia viridis 
Small Minnow Mayfly,67,Acentrella ampla 
Small Phigalia Moth,18,Phigalia strigataria 
Small Spot,20,Punctum minutissimum 
Small Sturdy Case Maker Caddisfly,10,Apatania praevolans 
Small Woodland Sunflower,49,Helianthus microcephalus 
Small’S Black-Snakeroot,29,Sanicula smallii 
Smallmouth Bass,58,Micropterus dolomieu 
Smooth Blackberry,277,Rubus canadensis 
Smooth Blackhaw,25,Viburnum prunifolium 
Smooth Carrion-Flower,90,Smilax herbacea 
Smooth Shadbush ,634,Amelanchier laevis 
Smooth Sumac,34,Rhus glabra 
Smooth Yellow False Foxglove,14,Aureolaria flava 
Snail,53,Mesodon clarki 
Snail-Case Making Caddisfly,13,Helicopsyche borealis 
Snail-Eating Ground Beetle,13,Sphaeroderus canadensis lengi
Snout Moth,53,Acrobasis aurorella 
Sod Web Worm,11,Acrolophus popeanellus 
Soft Grooveburr,26,Agrimonia pubescens 
Song Sparrow,57,Melospiza melodia 
Sordid Underwing,39,Catocala sordida 
Sourwood,"1,976",Oxydendrum arboreum 
Southern Bush-Honeysuckle,31,Diervilla sessilifolia 
Southern Crab Apple,17,Malus angustifolia v. angustifolia
Southern Harebell ,80,Campanula divaricata 
Southern Mountain-Cranberry,129,Vaccinium erythrocarpum 
Southern Pine Sphinx Moth,36,Lapara coniferarum 
Southern Pygmy Clubtail,131,Lanthus vernalis 
Southern Red-Backed Vole,31,Clethrionomys gapperi carolinensis
Southern Red Oak,120,Quercus falcata 
Southern Springfly,12,Cultus decisus isolatus
Southern Sturdy Burrower,98,Psilotreta frontalis 
Sow Fries Coral Fungus,24,Clavulinopsis fusiformis 
Soybean Looper,15,Pseudoplusia includens 
Sparse-Lobe Grape Fern,25,Botrychium biternatum 
Spearmarked Black Moth,10,Rheumaptera hastata 
Spectacular Burrowing Mayfly,20,Ephemera guttulata 
Spicebush,213,Lindera benzoin 
Spider,20,Cicurina arcuata 
Spiked Forestfly,88,Amphinemura wui 
Spiny Caddisfly,12,Brachycentrus spinae 
Spiny Crawler,15,Teloganopsis deficiens 
Spiny Crawler Mayfly 1,22,Drunella cornutella 
Spiny Crawler Mayfly 3,26,Ephemerella hispida 
Spiny Crawler Mayfly 4,13,Ephemerella subvaria 
Spiny Crawler Mayfly 5,37,Eurylophella funeralis 
Spiny Crawler Mayfly 6,21,Serratella deficiens 
Spiny Crawler Mayfly2,18,Drunella lata 
Spiny Oakworm Moth,41,Anisota stigma 
Spiny Slug Caterpillar,18,Euclea delphinii 
Spinyleg Willowfly,10,Taeniopteryx maura 
Splash Cup Fungus,12,Crucibulum laeve 
Splendid Dagger Moth,48,Acronicta superans 
Splendid Stickbait Caddis,44,Pycnopsyche luculenta 
Spoon-Leaf Purple Everlasting,36,Gamochaeta purpurea 
Spotted Apatelodes,67,Apatelodes torrefacta 
Spotted Cucumber Beetle,17,Diabrotica undecimpunctata howardi
Spotted Dusky Salamander,135,Desmognathus conanti 
Spotted Nomada Bee,11,Nomada Gnathias maculata 
Spotted St. John’S-Wort,57,Hypericum punctatum 
Spotted Stickbait Caddisfly,36,Pycnopsyche antica 
Spotted Touch-Me-Not,49,Impatiens capensis 
Spring Azure,30,Celastrina ladon 
Spring Beauty Bee,15,Andrena Ptilandrena erigeniae 
Spring Bee,15,Andrena Melandrena nivalis 
Spring Peeper,33,Pseudacris crucifer 
Spring Salamander,113,Gyrinophilus porphyriticus 
Springtail,52,Entomobrya assuta 
Springtail B,11,Dicyrtoma hageni 
Springtail F,11,Hypogastrura packardi 
Springtail K,13,Morulina crassa 
Springtail M,13,Pseudachorutes aureofasciatus 
Spruce Harlequin,57,Palthis angulalis 
Spurious Retreat-Maker,126,Hydropsyche sparna 
Square-Patched Carpet Moth,19,Perizoma basaliata 
St. Johnswort,38,Hypericum hypericoides 
Stag-Horn Sumac,10,Rhus typhina 
Starved Rosette Grass,16,Dichanthelium depauperatum 
Steelhead,142,Oncorhynchus mykiss 
Stenolophus Ground Beetle,51,Stenolophus Stenolophus ochropezus 
Stiff Cowbane,22,Oxypolis rigidior 
Stiff Gentian,14,Gentianella quinquefolia v. quinquefolia
Stiff Marsh Bedstraw,21,Galium tinctorium 
Stoneroot  ,151,Collinsonia canadensis 
Straight Toothed Sallow,12,Eupsilia vinulenta 
Straw Besma,33,Besma endropiaria 
Strawberry Sap Beetle,13,Stelidota geminata 
Streaked Flower Longhorn Beetle,23,Analeptura lineola 
Striped Cream Violet,22,Viola striata 
Striped Maple ,"2,027",Acer pensylvanicum 
Striped Pipsissewa,275,Chimaphila maculata 
Stripped Leaf Beetle,26,Capraita subvittata 
Subequal Flat-Headed Mayfly,46,Cinygmula subaequalis 
Sugar Maple,"1,341",Acer saccharum 
Summer Azure,51,Celastrina neglecta 
Summer Grape,155,Vitis aestivalis v. aestivalis
Summer Sedge,20,Carex aestivalis 
Superb Jewelwing,15,Calopteryx amata 
Swainson'S Thrush,39,Catharus ustulatus 
Swamp Rose,16,Rosa palustris 
Swan’S Sedge,35,Carex swanii 
Swannanoa Darter,16,Etheostoma swannanoa 
Swarthy Skipper,12,Nastra lherminier 
Sweat Bee,52,Agapostemon Agapostemon virescens 
Sweat Bee B,17,Augochlorella Augochlorella striata 
Sweat Bee F,11,Lasioglossum Dialictus laevissimum 
Sweat Bee H,13,Lasioglossum Dialictus versans 
Sweet-Gum,214,Liquidambar styraciflua 
Sweet Birch,"1,624",Betula lenta 
Sweet Fern Geometer,31,Cyclophora pendulinaria 
Sweet Joe-Pye-Weed,78,Eupatorium purpureum v. purpureum
Sweet White Violet,160,Viola blanda variety
Sweet Wood-Reed,12,Cinna arundinacea 
Symbiotic Non-Biting Midge,36,Synorthocladius semivirens 
Table Mountain Pine,189,Pinus pungens 
Tall Hairy Grooveburr,15,Agrimonia gryposepala 
Tall Rattlesnake-Root,65,Prenanthes altissima 
Tall Thimbleweed,21,Anemone virginiana v. virginiana
Tallulah Falls Antloving Rove Beetle,36,Sonoma tolulae 
Tarheel Sedge,11,Carex austrocaroliniana 
Tarnished Plant Bug,16,Lygus lineolaris 
Tawny Amanita,16,Amanita fulva 
Tawny Holomelina ,31,Holomelina opella 
Telescope Shiner,53,Notropis telescopus 
Tennessee Shiner,85,Notropis leuciodus 
Tennessee Snubnose Darter,10,Etheostoma tennesseense 
Tersa Sphinx ,10,Xylophanes tersa 
Tetraphis Moss,23,Tetraphis pellucida 
The Blusher,29,Amanita rubescens 
The Neighbor ,18,Haploa contigua 
The Slowpoke,41,Anorthodes tarda 
Thick-Horned Caddisfly,18,Heteroplectron americanum 
Thick-Leaf Phlox,10,Phlox carolina 
Thin-Leaf Mountain-Mint,49,Pycnanthemum montanum 
Thin-Leaf Sunflower,24,Helianthus decapetalus 
Three-Horned Sallow,10,Pachypolia atricornis 
Three-Leaved Rattlesnake-Root,39,Prenanthes trifoliolata 
Three-Lobed Needlefly,11,Leuctra triloba 
Three-Tailed Small Minnow Mayfly,105,Baetis tricaudatus 
Three Color Leaf Beetle,18,Tymnes tricolor 
Threelobed Bazzania,19,Bazzania trilobata 
Throaty Dome,27,Ventridens gularis 
Thyme-Leaf Bluet,79,Houstonia serpyllifolia 
Tiger Spiketail,70,Cordulegaster erronea 
Tiny Riffle Beetle,57,Oulimnius latiusculus 
Toed-Winged Beetle,35,Anchytarsus bicolor 
Tonolli`S Water Bear,31,Macrobiotus tonollii 
Tooth-Legged Grasshopper,21,Dichromorpha viridis 
Toothed-White-Top-Aster,24,Sericocarpus asteroides 
Toothed Brown Carpet,30,Xanthorhoe lacustrata 
Toothed Globe,10,Mesodon zaletus 
Toothed Phigalia Moth,12,Phigalia denticulata 
Toothed Somberwing,10,Euclidia cuspidea 
Toothwort  ,91,Cardamine diphylla 
Tormented Spiny Crawler  Mayfly,65,Ephemerella excrucians 
Trailing-Arbutus,154,Epigaea repens 
Tree Sparkle-Berry,49,Vaccinium arboreum 
Treehopper,10,Publilia concava 
Treehopper H,13,Entylia carinata 
Treehopper J,19,Micrutalis calva 
Treehopper L,29,Platycotis vittata 
Treehopper O,13,Stictocephala brevitylus 
Trident Maple,16,Acer rubrum v. trilobum
Trumpet-Creeper,13,Campsis radicans 
Trumpetweed,31,Eupatorium fistulosum 
Tuberculate Spiny Crawler Mayfly,94,Drunella tuberculata 
Tuckasegee Darter,28,Etheostoma gutselli 
Tufted Titmouse,"1,174",Baeolophus bicolor 
Tulip-Tree Silkmoth,35,Callosamia angulifera 
Tuliptree  ,"2,547",Liriodendron tulipifera 
Tupelo Leaffolder Moth,21,Actrix nyssaecolella 
Turkey Tail,29,Trametes versicolor 
Turkey Vulture,17,Cathartes aura 
Twelve-Spotted Ladybug,32,Harmonia axyridis 
Twenty-Spotted Lady Beetle,17,Psyllobora vigintimaculata 
Twin-Spotted Spiketail,43,Cordulegaster maculata 
Twisted Sedge,20,Carex torta 
Two-Leaf Bishop’S-Cap,32,Mitella diphylla 
Two-Ridged Snail-Eating Ground Beetle,14,Sphaeroderus bicarinatus 
Two-Spotted Bumble Bee,15,Bombus Pyrobombus bimaculatus 
Two-Striped Clown Beetle,14,Paromalus bistriatus 
Two-Tailed Flat-Headed Mayfly,64,Epeorus pleuralis 
Twolined Spittlebug,24,Prosapia bicincta 
Umbrella Magnolia,113,Magnolia tripetala 
Unclear Dagger Moth,57,Acronicta inclara 
Undulated Eunotia Diatom,38,Eunotia varioundulata 
Unequal Flat-Headed Mayfly,133,Epeorus dispar 
Uniform Northern Caddisfly,20,Pseudostenophylax uniformis 
Unmarked Dagger Moth,86,Acronicta innotata 
Unspecified,"19,976",Aethiophysa consimilis 
Unspotted Looper Moth,27,Allagrapha aerea 
Upland Bent,45,Agrostis perennans 
Upland Boneset,23,Eupatorium sessilifolium 
Upland Chorus Frog,13,Pseudacris feriarum 
Upright Yellow Wood-Sorrel,28,Oxalis stricta 
Vagabond Crambus,20,Agriphila vulgivagella 
Variable Antepione,36,Antepione thisoaria 
Variable Carpet,20,Anticlea vasiliata 
Variable Panic Grass,89,Dichanthelium commutatum 
Variegated Cutworm,39,Peridroma saucia 
Variegated Fritillary Butterfly,30,Euptoieta claudia 
Variegated Wingless Locust,10,Booneacris variegata 
Veery,"1,113",Catharus fuscescens 
Velvet-Foot Brimcap,18,Paxillus atrotomentosus 
Velvet Ant,13,Dasymutilla occidentalis occidentalis
Velvetbean Caterpillar,27,Anticarsia gemmatalis 
Vermilion Waxycap Fungus,14,Hygrocybe miniata 
Vesper Sparrow,10,Pooecetes gramineus 
Violet Bush-Clover,15,Lespedeza violacea 
Violet Wood-Sorrel,24,Oxalis violacea 
Virginia-Snakeroot,15,Aristolochia serpentaria 
Virginia Creeper,270,Parthenocissus quinquefolia 
Virginia Creeper Sphinx Moth,34,Darapsa myron 
Virginia Dwarf-Dandelion,10,Krigia virginica 
Virginia Knotweed ,59,Polygonum virginianum 
Virginia Pennywort,10,Obolaria virginica 
Virginia Pine,654,Pinus virginiana 
Virginia Springbeauty,10,Claytonia virginica variety
Virginia Sweetspire,12,Itea virginica 
Virginia Virgin-Bower,49,Clematis virginiana 
Virginia Water-Horehound,29,Lycopus virginicus 
Viscid Violet Cort,26,Cortinarius iodes 
Walking Fern,28,Asplenium rhizophyllum 
Walnut Shoot Moth,14,Acrobasis demotella 
Walsh'S Locust,17,Melanoplus walshii 
Warpaint Shiner,107,Luxilus coccogenis 
Wasp,11,Priocnemis Priocnemissus minorata 
Wataga Small Mark Caddis,47,Micrasema wataga 
Water Penny Beetle,73,Psephenus herricki 
Waterbear,332,Diphascon Diphascon pinguiforme 
Watson'S Arugisa Moth,11,Arugisa latiorella 
Waved Sphinx,25,Ceratomia undulosa 
Wavy-Leaf American-Aster,75,Symphyotrichum undulatum 
Wavy-Lined Heterocampa ,81,Heterocampa biundata 
Waxycap Fungus,21,Hygrocybe cantharellus 
Weeping Ground Beetle,19,Pterostichus Euferonia lachrymosus 
Weeping Milk Cap Mushroom,15,Lactarius volemus 
Weevil,31,Caulophilus dubius 
Weevil 1,14,Acoptus suturalis 
Weevil 2,20,Conotrachelus posticatus 
Weevil 7,21,Dryophthorus americanus 
Weevil 9,30,Eurhoptus pyriformis 
Welsh Wave,53,Venusia cambrica 
Western Black-Nosed Dace,44,Rhinichthys obtusus 
Whip Nut-Rush,19,Scleria triglomerata 
Whiplash Dewberry,15,Rubus flagellaris 
White-Blotched Balsa,47,Balsa labecula 
White-Blotched Heterocampa Moth,42,Heterocampa umbrata 
White-Breasted Nuthatch,449,Sitta carolinensis 
White-Edge Sedge,19,Carex debilis v. rudgei
White-Footed Mouse,37,Peromyscus leucopus 
White-Lined Leafroller,36,Amorbia humerosana 
White-Ribboned Carpet Moth,10,Mesoleuca ruficillata 
White-Throated Sparrow,15,Zonotrichia albicollis 
White Ash,569,Fraxinus americana variety
White Avens,33,Geum canadense 
White Baneberry,91,Actaea pachypoda 
White Bergamot,60,Monarda clinopodia 
White Bluebead-Lily,97,Clintonia umbellulata 
White Clover,16,Trifolium repens 
White Edge Sedge,78,Carex debilis variety
White Goldenrod,15,Solidago bicolor 
White Grass,18,Leersia virginica 
White Lactarius Mushroom,21,Lactarius subvellereus v. subdistans
White M Hairstreak,11,Parrhasius m-album 
White Oldfield American-Aster,10,Symphyotrichum pilosum v. pilosum
White Snakeroot,247,Ageratina altissima v. altissima
White Striped Black,34,Trichodezia albovittata 
White Sucker,25,Catostomus commersoni 
White Thoroughwort,26,Eupatorium album 
White Turtlehead,22,Chelone glabra variety
White Vervain,12,Verbena urticifolia 
White Wood-Aster,333,Eurybia divaricata 
Whitetail Shiner,63,Cyprinella galactura 
Whorled Nodding-Aster,54,Oclemena acuminata 
Widow Underwing Moth,31,Catocala vidua 
Widow’S-Frill,57,Silene stellata 
Wild Comfrey,24,Cynoglossum virginianum v. virginianum
Wild Hydrangea,275,Hydrangea arborescens 
Wild Strawberry,30,Fragaria virginiana 
Wild Turkey,61,Meleagris gallopavo 
Winged Elm,33,Ulmus alata 
Winged Sumac Variety,97,Rhus copallinum variety
Wingstem,40,Verbesina alternifolia 
Winter Ant,41,Prenolepis imparis 
Winter Caddis,17,Dolophilodes distincta 
Winter Caddisfly,241,Dolophilodes distinctus 
Winter Crane Fly,10,Trichocera brevicornis 
Winter Wren,"1,030",Troglodytes hiemalis 
Wintergreen  ,96,Gaultheria procumbens 
Woman’S-Tobacco,47,Antennaria plantaginifolia 
Wood-Sorrel  ,112,Oxalis montana 
Wood Anemone ,45,Anemone quinquefolia 
Wood Betony ,51,Pedicularis canadensis 
Wood Frog,68,Lithobates sylvaticus 
Wood Thrush,768,Hylocichla mustelina 
Woodland Stonecrop,72,Sedum ternatum 
Woodland Sunflower,14,Helianthus divaricatus 
Worm,87,Nais behningi 
Worm-Eating Warbler,720,Helmitheros vermivorus 
Wounded Darter,10,Etheostoma vulneratum 
X Viola Sagittata,10,Viola sororia v. sororia
Xenate Non-Biting Midge,38,Thienemanniella xena 
Yarrow,18,Achillea millefolium variety
Yellow-Bellied Sapsucker,11,Sphyrapicus varius 
Yellow-Billed Cuckoo,208,Coccyzus americanus 
Yellow-Breasted Chat,28,Icteria virens 
Yellow-Collared Scape Moth ,31,Cisseps fulvicollis 
Yellow-Faced Non-Biting Midge,43,Brillia flavifrons 
Yellow-Haired Dagger Moth,36,Acronicta impleta 
Yellow-Headed Cutworm Moth,10,Apamea amputatrix 
Yellow-Pimpernel,27,Taenidia integerrima 
Yellow-Spotted Tiger Moth,16,Lophocampa maculata 
Yellow-Spotted Webworm,33,Anageshna primordialis 
Yellow-Striped Small Minnow Mayfly,66,Baetis flavistriga 
Yellow-Throated Vireo,68,Vireo flavifrons 
Yellow-Throated Warbler,470,Setophaga dominica 
Yellow Birch,"2,136",Betula alleghaniensis 
Yellow Birch Leaffolder,12,Ancylis discigerana 
Yellow Buckeye,973,Aesculus flava 
Yellow Crownbeard,38,Verbesina occidentalis 
Yellow Fairybells,168,Prosartes lanuginosa 
Yellow Indian Grass,103,Sorghastrum nutans 
Yellow Non-Biting Midge,41,Cryptochironomus fulvus 
Yellow Poplar Weevil,54,Odontopus calceatus 
Yellow Ragwort ,42,Packera anonyma 
Yellow Stickbait Caddis,34,Pycnopsyche flavata 
Yellow Stone,92,Eccoptura xanthenes 
Yellow Wakerobin,31,Trillium luteum 
Yellow Woolly Bear,42,Spilosoma virginica 
Yellowlined Caterpillar,130,Nadata gibbosa 
Yellowstriped Armyworm,50,Spodoptera ornithogalli 
York Sallfly,41,Suwallia marginata 
Zabulon Skipper,38,Poanes zabulon 
Zebra Swallowtail,22,Eurytides marcellus 
Zigzag Goldenrod,46,Solidago flexicaulis 
